iter	MultiClass
0	1.51994758211	1.44963345822	1.3791641533	1.31592218144	1.269088375	5	1.21245496	16	1.164700767
7	1.123558907
8	1.085716272
9	1.053081851
10	1.019260459
11	0.9881275575
12	0.961094766
13	0.9361724786114	0.9101597916115	0.8875197891116	0.864777513
17	0.8439196278118	0.8256387868119	0.8077271581220	0.7881679
21	0.7703678861
22	0.7573014992
23	0.7439546424
24	0.7288955337
25	0.7163286332
26	0.7032090764
27	0.6919662133
28	0.6805099893
29	0.6714557795
30	0.6618106801
31	0.6488606367
32	0.6391797712
33	0.6305970882
34	0.6222376398
35	0.6155533794
36	0.6077260108
37	0.5988039956
38	0.5913927296
39	0.5846257978
40	0.5780645705
41	0.5710092009
42	0.5650807369
43	0.5600945807
44	0.5540005557
45	0.5487446284
46	0.5440609112
47	0.5394441716
48	0.5333817874
49	0.5286247003
50	0.524415222
51	0.5213413469
52	0.5163079905
53	0.5123899202
54	0.5083265311
55	0.5040102875
56	0.4996850275
57	0.495938272
58	0.4923573687
59	0.4876544633
60	0.4847149398
61	0.4826214847
62	0.4790513969
63	0.4762921217
64	0.4732454442
65	0.4699669251
66	0.4663263794
67	0.4641004709
68	0.4604048535
69	0.4577623073
70	0.4547494741
71	0.4517257987
72	0.4489112089
73	0.446295954
74	0.4427037992
75	0.4408314593
76	0.4379739147
77	0.4359888582
78	0.4340015474
79	0.4322417107
80	0.4300709914
81	0.4278295928
82	0.4251720543
83	0.4220590577
84	0.4197123819
85	0.4174153879
86	0.4157601681
87	0.4142399051
88	0.4121537813
89	0.4109739615
90	0.410037266
91	0.408296031
92	0.4071064995
93	0.405283018
94	0.4040245499
95	0.4014131125
96	0.3997352249
97	0.3979681883
98	0.3963878215
99	0.3951891549
100	0.3938260323
101	0.3925648891
102	0.390856517
103	0.3896725375
104	0.3882557656
105	0.387151387
106	0.3858122828
107	0.3842871258
108	0.3826891751
109	0.3814656165
110	0.3802394208
111	0.3788370602
112	0.3770896671
113	0.375487067
114	0.3744070692
115	0.3732458434
116	0.3721142877
117	0.371260491
118	0.3706450672
119	0.3698154566
120	0.3691051274
121	0.3679208233
122	0.3668786361
123	0.3656257629
124	0.364864802
125	0.3634468169
126	0.3625920191
127	0.3618117169
128	0.3610329231
129	0.3602869517
130	0.3593961663
131	0.3583962766
132	0.3578448012
133	0.356771151
134	0.356029439
135	0.3549202117
136	0.3541383298
137	0.3530792937
138	0.3526535145
139	0.3515874174
140	0.3511979567
141	0.3504039839
142	0.3495475662
143	0.3490187026
144	0.3486644047
145	0.3481359666
146	0.3477699848
147	0.3471507605
148	0.3462767465
149	0.3452217551
150	0.3448006584
