iter	Passed	Remaining
0	227	90764
1	316	62912
2	405	53685
3	490	48592
4	584	46212
5	683	44883
6	780	43824
7	882	43223
8	974	42354
9	1069	41699
10	1174	41521
11	1265	40903
12	1358	40431
13	1455	40122
14	1539	39515
15	1629	39114
16	1723	38823
17	1822	38679
18	1915	38419
19	2023	38450
20	2129	38440
21	2226	38259
22	2320	38038
23	2411	37784
24	2533	38000
25	2643	38032
26	2746	37943
27	2861	38022
28	2961	37889
29	3057	37713
30	3153	37539
31	3233	37180
32	3337	37119
33	3441	37046
34	3544	36968
35	3625	36656
36	3720	36505
37	3822	36412
38	3914	36236
39	4008	36079
40	4106	35954
41	4210	35889
42	4296	35670
43	4380	35441
44	4481	35357
45	4586	35295
46	4683	35177
47	4819	35341
48	4941	35398
49	5039	35279
50	5148	35232
51	5244	35094
52	5331	34904
53	5402	34617
54	5488	34427
55	5579	34274
56	5665	34091
57	5740	33846
58	5832	33711
59	5900	33438
60	5965	33154
61	6112	33323
62	6167	32989
63	6249	32810
64	6338	32666
65	6411	32444
66	6511	32362
67	6604	32243
68	6696	32124
69	6786	31992
70	6878	31873
71	6962	31719
72	7052	31589
73	7139	31452
74	7224	31304
75	7315	31187
76	7452	31260
77	7529	31081
78	7624	30980
79	7694	30777
80	7791	30683
81	7869	30520
82	7918	30242
83	8031	30215
84	8128	30122
85	8215	29995
86	8312	29904
87	8390	29747
88	8475	29616
89	8561	29488
90	8649	29370
91	8735	29243
92	8822	29122
93	8911	29011
94	9000	28895
95	9101	28820
96	9185	28691
97	9261	28541
98	9339	28394
99	9421	28263
100	9494	28108
101	9564	27944
102	9644	27810
103	9745	27738
104	9823	27599
105	9904	27469
106	9998	27379
107	10075	272411108	10153	27107109	10137	26727
110	10218	26606
111	10309	26510
112	10391	26391
113	10484	26303
114	10561	26172
115	10649	26072
116	10741	25980
117	10824	25869
118	10914	25772
119	10999	25664
1120	11177	257721121	11268	256761122	11344	255481123	11423	25427124	11376	25027
125	11469	24941
1126	11678	251041127	11757	249841128	11840	24874129	11809	24527
