window_start,anchor_id,session_id,packet_count,packet_rate,scan_duration_ms,rssi_mean,rssi_median,rssi_min,rssi_max,rssi_std,rssi_variance,rssi_range,rssi_p05,rssi_p10,rssi_p25,rssi_p75,rssi_p90,rssi_p95,rssi_iqr,rssi_p90_10_range,rssi_mad,rssi_snr,rssi_skewness,rssi_kurtosis,rssi_delta_mean,rssi_delta_std,rssi_delta_max,observed_adv_interval,adv_interval_std,path_loss_free_space,path_loss_indoor,rssi_mean_to_std_ratio,rssi_median_mean_diff,rssi_slope,rssi_trend_strength,rssi_ema_diff,rssi_first_half_mean,rssi_second_half_mean,rssi_half_diff,rssi_autocorrelation,rssi_energy,rssi_bin_neg100_90,rssi_bin_neg90_80,rssi_bin_neg80_70,rssi_bin_neg70_60,rssi_bin_neg60_50,rssi_bin_neg50_30,rssi_mean_delta,rssi_mean_slope_3w,rssi_mean_slope_5w,rssi_rolling_mean_3w,rssi_rolling_std_3w,rssi_rolling_mean_5w,rssi_rolling_std_5w,rssi_ema_cross_window,rssi_velocity,rssi_acceleration,signal_stability_index,rssi_rolling_mean_10w,rssi_rolling_std_10w,rssi_motion_direction,rssi_snr_rolling_5w,obstacle_factor,rssi_x_height,pathloss_div_obstacle_factor,pathloss_free_div_obstacle_factor,rssi_div_height,distance_m,height_m,obstacle,obstacle_type,motion,distance_bucket
897,ANCHOR_01,dataset_2026-07-31_014443.csv,2,2.0202,990.0,-87.0,-87.0,-87.0,-87.0,0.0,0.0,0.0,-87.0,-87.0,-87.0,-87.0,-87.0,-87.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,2.884,2.0261,-87.0,0.0,0.0,0.0,0.0,-87.0,-87.0,0.0,0.0,7569.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,0.0,-87.0,0.0,-87.0,0.0,0.0,1.0,-87.0,0.0,0.0,100000.0,1.0,-0.0,2.0261,2.884,-87.0,3.0,0.0,No,None,stationary,3.0
2897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,-77.0,-77.0,-77.0,-77.0,-77.0,-77.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912,0.9404,-77.0,0.0,0.0,0.0,0.0,-77.0,-77.0,0.0,0.0,5929.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,10.0,10.0,-82.0,7.0711,-82.0,7.0711,-84.0,5.0,5.0,0.5,-82.0,7.0711,1.0,100000.0,1.0,-0.0,0.9404,0.912,-77.0,3.0,0.0,No,None,stationary,3.0
3897,ANCHOR_01,dataset_2026-07-31_014443.csv,2,2.0202,990.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,-76.0,-76.0,-76.0,-76.0,-76.0,-76.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,0.8128,0.871,-76.0,0.0,0.0,0.0,0.0,-76.0,-76.0,0.0,0.0,5776.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,5.5,5.5,-80.0,6.0828,-80.0,6.0828,-81.6,1.0,-4.0,0.6667,-80.0,6.0828,1.0,100000.0,1.0,-0.0,0.871,0.8128,-76.0,3.0,0.0,No,None,stationary,3.0
5897,ANCHOR_01,dataset_2026-07-31_014443.csv,2,2.0408,980.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,980.0,0.0,3.6308,2.3623,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,-13.0,-6.0,-0.5,-80.6667,7.2342,-82.25,6.702,-83.82,-6.5,-7.5,0.5,-82.25,6.702,-1.0,100000.0,1.0,-0.0,2.3623,3.6308,-89.0,3.0,0.0,No,None,stationary,3.0
7897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,-89.0,-89.0,-89.0,-89.0,-89.0,-89.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6308,2.3623,-89.0,0.0,0.0,0.0,0.0,-89.0,-89.0,0.0,0.0,7921.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-6.5,-1.6,-84.6667,7.5056,-83.6,6.5422,-85.374,0.0,6.5,0.6,-83.6,6.5422,-1.0,100000.0,1.0,-0.0,2.3623,3.6308,-89.0,3.0,0.0,No,None,stationary,3.0
8897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,-91.0,-91.0,-91.0,-91.0,-91.0,-91.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5709,2.7542,-91.0,0.0,0.0,0.0,0.0,-91.0,-91.0,0.0,0.0,8281.0,1.0,0.0,0.0,0.0,0.0,0.0,-2.0,-1.0,-4.1,-89.6667,1.1547,-84.4,7.2664,-87.0618,-2.0,-2.0,0.4,-84.8333,6.5853,-1.0,100000.0,1.0,-0.0,2.7542,4.5709,-91.0,3.0,0.0,No,None,stationary,3.0
9897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-80.0,-80.0,-80.0,-80.0,0.0,0.0,0.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2882,1.1839,-80.0,0.0,0.0,0.0,0.0,-80.0,-80.0,0.0,0.0,6400.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,4.5,-1.0,-86.6667,5.8595,-85.0,6.5955,-84.9433,11.0,13.0,0.4,-84.1429,6.283,-1.0,100000.0,1.0,-0.0,1.1839,1.2882,-80.0,3.0,0.0,No,None,stationary,3.0
10897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-79.0,-79.0,-79.0,-79.0,0.0,0.0,0.0,-79.0,-79.0,-79.0,-79.0,-79.0,-79.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1482,1.0965,-79.0,0.0,0.0,0.0,0.0,-79.0,-79.0,0.0,0.0,6241.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.9,-83.3333,6.6583,-85.6,5.6391,-83.1603,1.0,-10.0,0.4,-83.5,6.0945,1.0,100000.0,1.0,-0.0,1.0965,1.1482,-79.0,3.0,0.0,No,None,stationary,3.0
11897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-95.0,-95.0,-95.0,-95.0,0.0,0.0,0.0,-95.0,-95.0,-95.0,-95.0,-95.0,-95.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2444,3.744,-95.0,0.0,0.0,0.0,0.0,-95.0,-95.0,0.0,0.0,9025.0,1.0,0.0,0.0,0.0,0.0,0.0,-16.0,-7.5,0.0,-84.6667,8.9629,-86.8,7.0143,-86.7122,-16.0,-17.0,0.4,-84.7778,6.8698,0.0,100000.0,1.0,-0.0,3.744,7.2444,-95.0,3.0,0.0,No,None,stationary,3.0
12897,ANCHOR_01,dataset_2026-07-31_014443.csv,1,0.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4815,5.0894,-99.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,9801.0,1.0,0.0,0.0,0.0,0.0,0.0,-4.0,-10.0,-3.1,-91.0,10.583,-88.8,8.9554,-90.3985,-4.0,12.0,0.2,-86.2,7.8853,-1.0,100000.0,1.0,-0.0,5.0894,11.4815,-99.0,3.0,0.0,No,None,stationary,3.0
